# Time-averaged data for fix dump_rdf_all
# TimeStep Number-of-rows
# Row c_calc_rdf_all[1] c_calc_rdf_all[2] c_calc_rdf_all[3]
20000 1000
684 2.88803 1.00057 166.338
685 2.89225 0.999549 167.071
686 2.89648 0.999087 167.806
687 2.9007 1.00161 168.546
688 2.90493 0.998667 169.285
689 2.90915 0.999451 170.027
690 2.91338 0.999165 170.77
691 2.91761 1.00303 171.519
692 2.92183 0.998935 172.267
693 2.92606 1.00094 173.019
694 2.93028 1.00174 173.773
695 2.93451 1.00546 174.532
696 2.93873 1.00593 175.294
697 2.94296 1.00736 176.059
698 2.94718 1.00654 176.826
699 2.95141 1.00662 177.595
700 2.95563 1.00472 178.365
701 2.95986 1.01024 179.141
702 2.96408 1.00799 179.918
703 2.96831 1.01131 180.699
704 2.97254 1.00814 181.48
705 2.97676 1.00833 182.264
706 2.98099 1.01198 183.053
707 2.98521 1.01157 183.843
708 2.98944 1.00858 184.634
709 2.99366 1.0103 185.428
710 2.99789 1.00915 186.223
711 3.00211 1.0125 187.023
712 3.00634 1.00975 187.824
713 3.01056 1.01078 188.627
714 3.01479 1.0106 189.433
715 3.01901 1.01715 190.246
716 3.02324 1.019 191.063
717 3.02746 1.01727 191.88
718 3.03169 1.01775 192.701
719 3.03592 1.01631 193.522
720 3.04014 1.0169 194.347
721 3.04437 1.01635 195.173
722 3.04859 1.01636 196.001
723 3.05282 1.01237 196.829
724 3.05704 1.01343 197.659
725 3.06127 1.01179 198.491
726 3.06549 1.00842 199.322
727 3.06972 1.01092 200.157
728 3.07394 1.01112 200.995
729 3.07817 1.01341 201.837
730 3.08239 1.01074 202.68
731 3.08662 1.01107 203.524
732 3.09085 1.00729 204.368
733 3.09507 1.00478 205.212
734 3.0993 1.00643 206.06
735 3.10352 1.00749 206.911
736 3.10775 1.00542 207.763
737 3.11197 1.00707 208.618
738 3.1162 1.00546 209.475
739 3.12042 1.00814 210.335
740 3.12465 1.00611 211.197
741 3.12887 1.01226 212.066
742 3.1331 1.00738 212.933
743 3.13732 1.00773 213.803
744 3.14155 1.00762 214.675
745 3.14577 1.00713 215.549
746 3.15 1.00841 216.427
747 3.15423 1.00267 217.302
748 3.15845 1.00573 218.182
749 3.16268 1.00552 219.064
750 3.1669 1.00411 219.947
751 3.17113 1.00408 220.832
752 3.17535 1.00457 221.721
753 3.17958 1.00395 222.611
754 3.1838 1.0066 223.506
755 3.18803 1.00247 224.399
756 3.19225 1.00299 225.296
757 3.19648 1.00324 226.195
758 3.2007 1.00454 227.097
759 3.20493 1.00472 228.002
760 3.20915 1.0027 228.908
761 3.21338 1.00262 229.816
762 3.21761 1.00437 230.728
763 3.22183 1.00162 231.64
764 3.22606 1.00114 232.553
765 3.23028 0.998439 233.467
766 3.23451 0.99961 234.384
767 3.23873 0.999576 235.304
768 3.24296 0.998176 236.224
769 3.24718 0.99797 237.147
770 3.25141 0.994737 238.07
771 3.25563 0.996647 238.996
772 3.25986 0.995764 239.924
773 3.26408 0.994683 240.853
774 3.26831 0.993886 241.785
775 3.27254 0.992381 242.717
776 3.27676 0.992225 243.651
777 3.28099 0.989747 244.585
778 3.28521 0.992004 245.524
779 3.28944 0.995158 246.469
780 3.29366 0.99509 247.415
781 3.29789 0.99656 248.366
782 3.30211 0.99316 249.316
783 3.30634 0.997135 250.272
784 3.31056 0.994367 251.227
785 3.31479 0.994181 252.185
786 3.31901 0.993479 253.145
787 3.32324 0.99177 254.106
788 3.32746 0.992949 255.07
789 3.33169 0.991841 256.036
790 3.33592 0.994399 257.006
791 3.34014 0.997714 257.982
792 3.34437 0.99786 258.961
793 3.34859 0.997298 259.942
794 3.35282 0.997031 260.925
795 3.35704 0.999003 261.912
796 3.36127 1.00024 262.903
797 3.36549 0.99902 263.896
798 3.36972 0.995803 264.887
799 3.37394 0.997931 265.884
800 3.37817 0.996776 266.881
801 3.38239 0.997234 267.882
802 3.38662 0.998609 268.886
803 3.39085 0.999419 269.894
804 3.39507 0.999293 270.904
805 3.3993 0.99895 271.916
806 3.40352 0.998249 272.931
807 3.40775 0.998524 273.948
808 3.41197 0.999635 274.968
809 3.4162 0.999356 275.991
810 3.42042 1.00172 277.019
811 3.42465 1.00057 278.048
812 3.42887 0.999688 279.079
813 3.4331 0.998401 280.111
814 3.43732 0.998927 281.146
815 3.44155 1.00143 282.186
816 3.44577 1.00141 283.229
817 3.45 0.99985 284.273
818 3.45423 0.9977 285.317
819 3.45845 0.99877 286.364
820 3.46268 0.9972 287.413
821 3.4669 0.999194 288.466
822 3.47113 0.999299 289.522
823 3.47535 0.998049 290.579
824 3.47958 0.999515 291.641
825 3.4838 0.997439 292.702
826 3.48803 1.00254 293.772
827 3.49225 1.00158 294.843
828 3.49648 1.00076 295.916
829 3.5007 1.00248 296.994
830 3.50493 0.998838 298.07
831 3.50915 1.00167 299.152
832 3.51338 0.99593 300.23
833 3.51761 0.99432 301.309
834 3.52183 0.998556 302.395
835 3.52606 1.00093 303.486
836 3.53028 0.999167 304.578
837 3.53451 1.0004 305.674
838 3.53873 1.00361 306.777
839 3.54296 1.00439 307.882
840 3.54718 1.00231 308.988
841 3.55141 1.00138 310.096
842 3.55563 1.00181 311.207
843 3.55986 1.00162 312.32
844 3.56408 1.00102 313.435
845 3.56831 0.999298 314.551
846 3.57254 1.00112 315.672
847 3.57676 1.00245 316.796
848 3.58099 1.00336 317.925
849 3.58521 0.99869 319.051
850 3.58944 0.995335 320.175
851 3.59366 0.995545 321.303
852 3.59789 0.997137 322.435
853 3.60211 0.996353 323.569
854 3.60634 0.997304 324.706
855 3.61056 0.998785 325.848
856 3.61479 1.00046 326.995
