# Time-averaged data for fix dump_ke
# TimeStep c_calc_ke c_calc_pe
72800 1212.61 -5727.18
72900 1217.32 -5731.87
73000 1229.13 -5742.85
73100 1230.56 -5746.33
73200 1205.05 -5719.27
73300 1200.16 -5715.2
73400 1202.87 -5717.17
73500 1207.41 -5721.82
73600 1204.01 -5719.19
73700 1196.29 -5712.19
73800 1198.74 -5713.14
73900 1212.43 -5727.41
74000 1219.89 -5734.97
74100 1227.41 -5742.62
74200 1216.54 -5731.55
74300 1211.48 -5726.33
74400 1210.38 -5725.23
74500 1214.85 -5729.69
74600 1199.7 -5714.94
74700 1164.34 -5679.67
74800 1145.39 -5659.39
74900 1160.58 -5675.82
75000 1159.07 -5673.12
75100 1158.83 -5673.99
75200 1173.8 -5689.16
75300 1184.5 -5699.26
75400 1184.71 -5699.73
75500 1181.21 -5696.87
75600 1175.83 -5690.83
75700 1176.87 -5692.4
75800 1183.64 -5698.53
75900 1187.49 -5702.88
76000 1186.59 -5701.93
76100 1184.58 -5700.38
76200 1191.2 -5706.56
76300 1205.8 -5720.59
76400 1211.38 -5726.25
76500 1210.94 -5726.22
76600 1211.24 -5726.6
76700 1196.69 -5711.89
76800 1188.5 -5703.74
76900 1206.55 -5721.15
77000 1209.31 -5724.54
77100 1201.53 -5716.27
77200 1193.63 -5708.63
77300 1199.2 -5714.17
77400 1225.95 -5740.81
77500 1214.21 -5728.88
77600 1218.07 -5733.15
77700 1236.34 -5751.22
77800 1236.2 -5752.02
77900 1220.6 -5736.48
78000 1225.04 -5740.4
78100 1227.46 -5742.75
78200 1216.01 -5731.33
78300 1211.12 -5726.28
78400 1203.47 -5718.67
78500 1195.34 -5709.54
78600 1198.22 -5713.19
78700 1206.29 -5720.94
78800 1202.79 -5717.69
78900 1206.94 -5721.16
79000 1208.09 -5723.58
79100 1203.32 -5718.48
79200 1224.08 -5740.08
79300 1233.39 -5748.82
79400 1226.44 -5741.42
79500 1230.43 -5744.86
79600 1226.8 -5741.98
79700 1207.67 -5722.87
79800 1207.58 -5722.95
79900 1224.46 -5738.88
80000 1217.65 -5732.22
80100 1200.94 -5715.52
80200 1187.23 -5702.83
80300 1196.31 -5712.03
80400 1194 -5708.88
80500 1167.82 -5682.12
80600 1172.07 -5687.25
80700 1176.17 -5691.36
80800 1187.14 -5702.21
80900 1198.76 -5713.42
81000 1198.97 -5713.44
81100 1193.93 -5709.59
81200 1203.16 -5718
81300 1222.21 -5736.89
81400 1233.64 -5748.76
81500 1238.7 -5753.58
81600 1235.04 -5749.64
81700 1226.18 -5740.01
81800 1219.4 -5734.46
81900 1219.37 -5734.33
82000 1217.69 -5731.62
82100 1229.89 -5745.27
82200 1243.11 -5758.03
82300 1240.42 -5755.65
82400 1227.85 -5742.96
82500 1222.71 -5737.92
82600 1234.18 -5749.78
82700 1250.08 -5764.92
82800 1251.36 -5765.99
82900 1232.62 -5748.1
83000 1217.93 -5732.83
83100 1215.94 -5731.02
83200 1220.34 -5734.45
83300 1216.18 -5731.62
83400 1207.65 -5722.3
83500 1211.21 -5726.38
83600 1214.03 -5728.62
83700 1217.16 -5732.34
83800 1236.45 -5751.38
83900 1247.17 -5761.84
84000 1244.14 -5758.96
84100 1247.56 -5762.25
84200 1232.67 -5747.19
84300 1205.55 -5721.31
84400 1195.04 -5710.24
84500 1198.21 -5713.32
84600 1193.88 -5708.78
84700 1184.57 -5699.3
84800 1177.36 -5692.61
84900 1169.69 -5685.31
85000 1183.12 -5697.72
85100 1197.2 -5712.39
85200 1221.09 -5736.05
85300 1238.43 -5753.43
85400 1229.56 -5744.51
85500 1218.8 -5733.47
85600 1218.06 -5732.9
85700 1220.86 -5735.93
85800 1239.98 -5755.18
85900 1246.92 -5761.33
86000 1245.77 -5761.34
86100 1253.8 -5768.33
86200 1249.32 -5763.45
86300 1248.34 -5763.21
86400 1244.42 -5758.85
86500 1233.4 -5747.74
86600 1224.41 -5739.02
86700 1214.04 -5728.71
86800 1209.84 -5724.78
86900 1205.07 -5720.16
87000 1221.35 -5737
87100 1237.09 -5752.12
87200 1224.46 -5739.71
87300 1213.05 -5728.59
87400 1236.89 -5752.36
87500 1252.16 -5767.42
87600 1217.04 -5732.28
87700 1205.33 -5720.37
87800 1223.87 -5739.5
87900 1236.68 -5752.5
88000 1235.75 -5750.6
88100 1218.78 -5734.61
88200 1204.43 -5718.75
88300 1217.49 -5732.22
88400 1214.99 -5730.05
88500 1216.01 -5730.83
88600 1227.93 -5742.74
88700 1222.15 -5737.15
88800 1202.35 -5717.76
88900 1205.22 -5720.26
89000 1214.21 -5728.42
89100 1230.4 -5745.85
89200 1243.92 -5758.11
89300 1229.64 -5744.64
89400 1229.07 -5743.99
89500 1231.4 -5746.1
89600 1236.61 -5751.44
89700 1234.45 -5749.17
89800 1217.61 -5732.63
89900 1208.86 -5724.1
90000 1205.59 -5721.07
90100 1207.44 -5722.61
90200 1202.21 -5717.17
90300 1199.41 -5714.51
90400 1203.83 -5719.52
90500 1208.81 -5723.78
90600 1214.72 -5729.57
90700 1224.16 -5738.87
90800 1225.78 -5741.01
90900 1231.11 -5746.21
91000 1236.96 -5751.58
91100 1238.79 -5753.73
91200 1223.72 -5738.93
91300 1197.93 -5713.54
91400 1189.93 -5705.11
91500 1198.77 -5713.74
91600 1192.82 -5708.16
91700 1184.04 -5698.13
91800 1193.26 -5708.34
91900 1199.79 -5714.72
92000 1197.55 -5712.92
92100 1178.99 -5693.82
92200 1186.62 -5700.99
92300 1200.04 -5714.68
92400 1205.47 -5720.8
92500 1199.3 -5714.14
92600 1193.55 -5709.49
92700 1209.15 -5723.96
92800 1213.19 -5727.83
92900 1214.08 -5729.84
93000 1227.41 -5743.12
93100 1248.78 -5763.22
93200 1241.28 -5756.82
93300 1235.76 -5750.35
93400 1229.41 -5744.42
93500 1219.62 -5734.22
93600 1220.3 -5735.67
93700 1215.65 -5731.64
93800 1215.53 -5730.59
93900 1220.45 -5735.11
94000 1207.98 -5723.42
94100 1209.5 -5724.76
94200 1224.19 -5739.21
94300 1241.99 -5757.2
94400 1253.92 -5769.45
94500 1251.9 -5767.18
94600 1248.67 -5764.2
94700 1252.56 -5767.59
94800 1239.95 -5755.44
94900 1218.34 -5733.48
95000 1210.37 -5726.17
95100 1204.08 -5718.52
95200 1191.89 -5706.33
95300 1185.78 -5700.78
95400 1196.04 -5711.18
95500 1210.14 -5724.24
95600 1210.7 -5726.05
95700 1219.64 -5734.98
95800 1228.64 -5743.68
95900 1227.13 -5742.52
96000 1221.61 -5736.32
96100 1198.79 -5713.99
96200 1188.08 -5702.35
96300 1189.64 -5704.36
96400 1192.13 -5706.98
96500 1196.43 -5711.34
96600 1207.43 -5722.72
96700 1212.6 -5728.47
96800 1198.32 -5713.48
96900 1197.17 -5711.99
97000 1218.29 -5733.49
97100 1227.75 -5742.18
97200 1209.4 -5724.49
97300 1193.44 -5707.89
97400 1197.95 -5713.07
97500 1209.47 -5724.14
97600 1193.78 -5708.5
97700 1206.39 -5721.21
97800 1222.51 -5737.59
97900 1204.82 -5720.3
98000 1182.18 -5697.38
98100 1188.26 -5702.95
98200 1187.42 -5702.44
98300 1192.32 -5707.26
98400 1186.64 -5701.39
98500 1172.5 -5688.13
98600 1183.43 -5698.86
98700 1191.18 -5706.72
98800 1208.54 -5723.18
98900 1225.66 -5740.8
99000 1237.07 -5751.53
99100 1246.64 -5761.77
