# Time-averaged data for fix dump_momentum
# TimeStep c_calc_momentum[1] c_calc_momentum[2] c_calc_momentum[3]
35200 -6.91003e-13 -1.45661e-13 -1.42997e-13
35300 -7.07878e-13 -1.61648e-13 -1.50102e-13
35400 -7.14095e-13 -1.62537e-13 -1.43441e-13
35500 -6.98108e-13 -1.91847e-13 -1.33227e-13
35600 -6.94556e-13 -1.95399e-13 -1.22569e-13
35700 -6.88338e-13 -1.84741e-13 -1.16351e-13
35800 -6.6791e-13 -1.85629e-13 -1.33227e-13
35900 -6.53699e-13 -2.06946e-13 -1.56319e-13
36000 -6.59028e-13 -2.06946e-13 -1.51879e-13
36100 -6.57252e-13 -1.97176e-13 -1.42997e-13
36200 -6.51923e-13 -2.21156e-13 -1.4122e-13
36300 -6.54143e-13 -2.23821e-13 -1.50102e-13
36400 -6.59028e-13 -2.37144e-13 -1.56319e-13
36500 -6.83897e-13 -2.36255e-13 -1.63869e-13
36600 -6.76792e-13 -2.3892e-13 -1.78968e-13
36700 -6.90559e-13 -2.22489e-13 -1.82521e-13
36800 -6.94111e-13 -2.44249e-13 -1.91847e-13
36900 -6.82121e-13 -2.54463e-13 -1.82965e-13
37000 -6.73239e-13 -2.62457e-13 -1.77636e-13
37100 -6.55476e-13 -2.50466e-13 -1.88294e-13
37200 -6.5814e-13 -2.40252e-13 -1.77636e-13
37300 -6.71019e-13 -2.46025e-13 -1.42109e-13
37400 -6.82121e-13 -2.78888e-13 -1.38556e-13
37500 -6.83009e-13 -2.73559e-13 -1.59872e-13
37600 -6.94556e-13 -2.66454e-13 -1.59872e-13
37700 -6.94556e-13 -2.61124e-13 -1.74083e-13
37800 -6.99885e-13 -2.78444e-13 -1.86517e-13
37900 -6.83453e-13 -2.61124e-13 -1.66978e-13
38000 -6.75904e-13 -2.50466e-13 -1.4122e-13
38100 -6.67466e-13 -2.30926e-13 -1.44884e-13
38200 -6.72351e-13 -2.32703e-13 -1.3578e-13
38300 -6.71463e-13 -2.38032e-13 -1.19904e-13
38400 -6.95444e-13 -2.4869e-13 -1.20792e-13
38500 -7.0699e-13 -2.38032e-13 -1.16351e-13
38600 -7.00329e-13 -2.26485e-13 -1.01252e-13
