# Time-averaged data for fix dump_ke
# TimeStep c_calc_ke c_calc_pe
55300 383.712 -2632.41
55400 393.666 -2642.36
55500 406.479 -2655.18
55600 403.07 -2651.77
55700 410.446 -2659.15
55800 408.613 -2657.32
55900 377.857 -2626.55
56000 389.33 -2638.03
56100 396.229 -2644.93
56200 411.235 -2659.93
56300 400.245 -2648.95
56400 397.832 -2646.53
56500 409.237 -2657.93
56600 406.56 -2655.26
56700 388.818 -2637.51
56800 397.307 -2646.02
56900 380.828 -2629.52
57000 393.26 -2641.95
57100 374.067 -2622.76
57200 393.446 -2642.14
57300 380.548 -2629.24
57400 387.2 -2635.9
57500 380.017 -2628.72
57600 397.227 -2645.92
57700 398.262 -2646.97
57800 413.844 -2662.54
57900 398.601 -2647.3
58000 418.316 -2667.02
58100 396.713 -2645.41
58200 386.964 -2635.66
58300 394.561 -2643.26
58400 403.025 -2651.73
58500 389.168 -2637.86
58600 433.861 -2682.56
58700 421.313 -2670.01
58800 411.544 -2660.24
58900 411.273 -2659.98
59000 413.204 -2661.91
59100 396.76 -2645.45
59200 404.553 -2653.25
59300 412.87 -2661.57
59400 411.61 -2660.31
59500 410.332 -2659.03
59600 418.306 -2667
59700 399.279 -2647.98
59800 380.117 -2628.81
59900 408.569 -2657.26
60000 406.386 -2655.08
60100 408.331 -2657.03
60200 397.574 -2646.27
60300 395.072 -2643.77
60400 426.6 -2675.3
60500 403.54 -2652.23
60600 396.916 -2645.61
60700 382.893 -2631.58
60800 401.427 -2650.13
60900 395.184 -2643.88
61000 417.604 -2666.31
61100 403.322 -2652.02
61200 417.457 -2666.15
61300 402.416 -2651.11
61400 409.967 -2658.66
61500 387.103 -2635.8
61600 407.107 -2655.81
61700 409.54 -2658.24
61800 389.448 -2638.15
61900 399.653 -2648.34
62000 380.414 -2629.1
62100 395.822 -2644.52
62200 397.815 -2646.52
62300 390.704 -2639.4
62400 397.096 -2645.79
62500 388.657 -2637.35
62600 411.237 -2659.95
62700 406.055 -2654.75
62800 387.797 -2636.49
62900 419.966 -2668.67
63000 419.656 -2668.37
63100 409.05 -2657.75
63200 402.736 -2651.43
63300 377.178 -2625.87
63400 393.419 -2642.13
63500 409.584 -2658.3
63600 419.297 -2668
63700 393.896 -2642.59
63800 423.506 -2672.2
63900 411.297 -2660
64000 401.995 -2650.69
64100 397.889 -2646.57
64200 393.173 -2641.88
64300 387.263 -2635.97
64400 418.084 -2666.79
64500 407.747 -2656.45
64600 391.609 -2640.31
64700 392.835 -2641.53
64800 409.322 -2658.03
64900 414.578 -2663.29
65000 393.07 -2641.76
65100 396.553 -2645.25
65200 387.65 -2636.35
65300 394.092 -2642.8
65400 404.08 -2652.78
65500 406.438 -2655.14
65600 393.251 -2641.94
65700 398.176 -2646.87
65800 377.005 -2625.7
65900 393.277 -2641.97
66000 390.152 -2638.84
66100 384.728 -2633.42
66200 381.419 -2630.12
66300 382.902 -2631.6
66400 385.511 -2634.21
66500 385.34 -2634.03
66600 390.5 -2639.21
66700 385.786 -2634.48
66800 383.403 -2632.11
66900 402.81 -2651.51
67000 392.644 -2641.35
67100 403.055 -2651.77
67200 396.188 -2644.89
67300 378.783 -2627.47
67400 390.249 -2638.94
67500 387.355 -2636.05
67600 398.894 -2647.6
67700 393.862 -2642.56
67800 407.529 -2656.23
67900 398.599 -2647.31
68000 389.154 -2637.85
68100 402.528 -2651.23
68200 401.765 -2650.47
68300 395.68 -2644.36
68400 397.874 -2646.57
68500 404.837 -2653.54
68600 395.79 -2644.49
68700 413.932 -2662.63
68800 399.845 -2648.55
68900 408.377 -2657.08
69000 401.606 -2650.3
69100 403.839 -2652.53
69200 385.361 -2634.05
69300 415.137 -2663.84
69400 413.134 -2661.83
69500 408.912 -2657.61
69600 396.376 -2645.07
69700 409.274 -2657.97
69800 389.04 -2637.74
69900 408.972 -2657.67
70000 389.692 -2638.39
70100 408.518 -2657.23
70200 395.561 -2644.25
70300 397.5 -2646.21
70400 391.945 -2640.65
70500 400 -2648.7
70600 403.589 -2652.27
70700 400.014 -2648.71
70800 394.787 -2643.49
70900 414.291 -2662.99
71000 386.701 -2635.4
71100 398.368 -2647.07
71200 399.773 -2648.47
71300 391.903 -2640.6
71400 389.757 -2638.45
71500 400.269 -2648.97
71600 396.089 -2644.78
71700 386.529 -2635.23
71800 379.211 -2627.91
71900 388.863 -2637.55
72000 382.677 -2631.37
72100 395.466 -2644.16
72200 393.068 -2641.77
72300 409.953 -2658.67
72400 391.42 -2640.12
72500 397.291 -2645.99
72600 381.059 -2629.76
72700 375.259 -2623.95
72800 388.942 -2637.64
